xd_id,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
127657432,2026-07-08 00:00:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:05:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:10:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:15:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:20:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:25:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:30:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:35:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:40:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:45:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:50:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 00:55:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:00:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:05:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:10:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:15:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:20:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:25:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:30:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:35:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:40:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:45:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:50:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 01:55:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:00:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:05:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:10:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:15:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:20:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:25:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:30:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:35:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:40:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:45:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:50:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 02:55:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:00:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:05:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:10:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:15:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:20:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:25:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:30:00,16.00,16.00,16.00,10.04,10.00,
127657432,2026-07-08 03:35:00,16.52,16.00,16.00,9.72,14.00,90.00
127657432,2026-07-08 03:40:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 03:45:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 03:50:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 03:55:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 04:00:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 04:05:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 04:10:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 04:15:00,19.00,16.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 04:20:00,18.56,16.00,16.00,8.65,30.00,90.00
127657432,2026-07-08 04:25:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 04:30:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 04:35:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 04:40:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 04:45:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 04:50:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 04:55:00,17.00,16.00,16.00,9.45,30.00,
127657432,2026-07-08 05:00:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:05:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:10:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:15:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:20:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:25:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:30:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:35:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:40:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:45:00,17.00,17.00,16.00,9.45,30.00,
127657432,2026-07-08 05:50:00,16.39,17.00,16.00,9.80,30.00,
127657432,2026-07-08 05:55:00,16.00,17.00,16.00,10.04,30.00,
127657432,2026-07-08 06:00:00,16.00,16.00,16.00,10.04,30.00,
127657432,2026-07-08 06:05:00,17.14,16.00,16.00,9.37,30.00,
127657432,2026-07-08 06:10:00,18.00,16.00,16.00,8.92,30.00,
127657432,2026-07-08 06:15:00,18.00,16.00,16.00,8.92,30.00,
127657432,2026-07-08 06:20:00,18.00,16.00,16.00,8.92,30.00,
127657432,2026-07-08 06:25:00,18.00,16.00,16.00,8.92,30.00,
127657432,2026-07-08 06:30:00,17.79,16.00,16.00,9.03,30.00,100.00
127657432,2026-07-08 06:35:00,17.00,16.00,16.00,9.45,30.00,100.00
127657432,2026-07-08 06:40:00,17.00,16.00,16.00,9.45,30.00,98.00
127657432,2026-07-08 06:45:00,17.00,16.00,16.00,9.45,30.00,90.00
127657432,2026-07-08 06:50:00,17.00,16.00,16.00,9.45,30.00,90.00
127657432,2026-07-08 06:55:00,17.00,16.00,16.00,9.45,30.00,90.00
127657432,2026-07-08 07:00:00,18.15,18.00,16.00,8.85,30.00,90.00
127657432,2026-07-08 07:05:00,19.00,18.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 07:10:00,19.00,18.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 07:15:00,18.79,18.00,16.00,8.55,28.00,90.00
127657432,2026-07-08 07:20:00,18.00,18.00,16.00,8.92,20.00,
127657432,2026-07-08 07:25:00,18.79,18.00,16.00,8.55,28.00,80.00
127657432,2026-07-08 07:30:00,19.00,18.00,16.00,8.45,30.00,80.00
127657432,2026-07-08 07:35:00,19.00,18.00,16.00,8.45,30.00,80.00
127657432,2026-07-08 07:40:00,19.00,18.00,16.00,8.45,30.00,80.00
127657432,2026-07-08 07:45:00,19.00,18.00,16.00,8.45,30.00,84.00
127657432,2026-07-08 07:50:00,19.00,18.00,16.00,8.45,30.00,90.00
127657432,2026-07-08 07:55:00,19.00,18.00,16.00,8.45,30.00,92.00
127657432,2026-07-08 08:00:00,18.39,18.00,16.00,8.74,30.00,90.00
127657432,2026-07-08 08:05:00,18.00,18.00,16.00,8.92,30.00,90.00
127657432,2026-07-08 08:10:00,18.00,18.00,16.00,8.92,30.00,90.00
127657432,2026-07-08 08:15:00,18.00,18.00,16.00,8.92,30.00,90.00
127657432,2026-07-08 08:20:00,18.00,18.00,16.00,8.92,30.00,90.00
127657432,2026-07-08 08:25:00,18.00,18.00,16.00,8.92,30.00,90.00
127657432,2026-07-08 08:30:00,18.00,18.00,16.00,8.92,22.00,90.00
127657432,2026-07-08 08:35:00,18.19,18.00,16.00,8.83,22.00,100.00
127657432,2026-07-08 08:40:00,19.00,18.00,16.00,8.45,30.00,100.00
127657432,2026-07-08 08:45:00,19.00,18.00,16.00,8.45,30.00,98.00
127657432,2026-07-08 08:50:00,19.00,18.00,16.00,8.45,30.00,86.00
127657432,2026-07-08 08:55:00,19.00,18.00,16.00,8.45,30.00,80.00
127657432,2026-07-08 09:00:00,19.59,16.00,16.00,8.20,30.00,80.00
127657432,2026-07-08 09:05:00,20.00,16.00,16.00,8.03,30.00,80.00
127657432,2026-07-08 09:10:00,20.00,16.00,16.00,8.03,30.00,90.00
127657432,2026-07-08 09:15:00,20.00,16.00,16.00,8.03,30.00,90.00
127657432,2026-07-08 09:20:00,20.00,16.00,16.00,8.03,30.00,90.00
127657432,2026-07-08 09:25:00,20.00,16.00,16.00,8.03,30.00,90.00
127657432,2026-07-08 09:30:00,17.82,16.00,16.00,9.01,26.00,93.33
127657432,2026-07-08 09:35:00,18.00,16.00,16.00,8.92,30.00,100.00
127657432,2026-07-08 09:40:00,18.00,16.00,16.00,8.92,30.00,98.00
127657432,2026-07-08 09:45:00,11.00,16.00,16.00,14.60,30.00,100.00
127657432,2026-07-08 09:50:00,11.00,16.00,16.00,14.60,30.00,98.00
127657432,2026-07-08 09:55:00,11.58,16.00,16.00,13.87,30.00,90.00
127657432,2026-07-08 10:00:00,12.00,12.00,16.00,13.39,30.00,86.00
127657432,2026-07-08 10:05:00,12.00,12.00,16.00,13.39,30.00,80.00
127657432,2026-07-08 10:10:00,12.76,12.00,16.00,12.59,30.00,82.00
127657432,2026-07-08 10:15:00,14.00,12.00,16.00,11.47,30.00,90.00
127657432,2026-07-08 10:20:00,14.00,12.00,16.00,11.47,30.00,90.00
127657432,2026-07-08 10:25:00,12.03,12.00,16.00,13.35,30.00,90.00
127657432,2026-07-08 10:30:00,11.00,12.00,16.00,14.60,30.00,90.00
127657432,2026-07-08 10:35:00,11.00,12.00,16.00,14.60,30.00,90.00
127657432,2026-07-08 10:40:00,11.00,12.00,16.00,14.60,30.00,84.00
127657432,2026-07-08 10:45:00,11.00,12.00,16.00,14.60,30.00,80.00
127657432,2026-07-08 10:50:00,11.00,12.00,16.00,14.60,30.00,80.00
127657432,2026-07-08 10:55:00,11.00,12.00,16.00,14.60,30.00,80.00
127657432,2026-07-08 11:00:00,11.00,14.00,16.00,14.60,30.00,80.00
127657432,2026-07-08 11:05:00,11.00,14.00,16.00,14.60,30.00,80.00
127657432,2026-07-08 11:10:00,12.54,14.00,16.00,12.81,30.00,88.00
