xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
127657432,PATRIOT PL,,N,0.044621536083763,5,NORFOLK,MA,02035,America/New_York,42.08996,-71.26938,42.08954,-71.26872
128155111,,,N,0.082852739174383,5,NORFOLK,MA,02035,America/New_York,42.0939,-71.26851,42.09488,-71.26758
429072212,PATRIOT PL,,S,0.14410865346676,5,NORFOLK,MA,02035,America/New_York,42.09279,-71.2681,42.0946,-71.26671
429072211,PATRIOT PL,,N,0.14410865346676,5,NORFOLK,MA,02035,America/New_York,42.0946,-71.26671,42.09279,-71.2681
127094655,PATRIOT PL,,N,0.035240734229364,5,NORFOLK,MA,02035,America/New_York,42.09707,-71.26487,42.09742,-71.26537
448963899,WASHINGTON ST,1,S,0.45202643385731,3,NORFOLK,MA,02035,America/New_York,42.09143,-71.27027,42.08606,-71.27528
448963910,WASHINGTON ST,1,N,0.452026433855767,3,NORFOLK,MA,02035,America/New_York,42.08606,-71.27528,42.09143,-71.27027
450226085,WASHINGTON ST,1,S,0.488066159152958,3,NORFOLK,MA,02035,America/New_York,42.09742,-71.26537,42.09143,-71.27027
429071956,PATRIOT PL,,N,0.379933770972657,5,NORFOLK,MA,02035,America/New_York,42.08856,-71.26102,42.09373,-71.2616
127603363,PATRIOT PL,,S,0.187027680032873,5,NORFOLK,MA,02035,America/New_York,42.09605,-71.26335,42.09373,-71.2616
127905700,PATRIOT PL,,N,0.029835683780079,5,NORFOLK,MA,02035,America/New_York,42.0912,-71.2693,42.09077,-71.26931
429071957,,,N,0.154291948569207,5,NORFOLK,MA,02035,America/New_York,42.08954,-71.26872,42.09131,-71.26738
484626395,PATRIOT PL,,N,0.08955524930197,5,NORFOLK,MA,02035,America/New_York,42.08954,-71.26872,42.08847,-71.26789
127988865,,,E,0.052839080265102,5,NORFOLK,MA,02035,America/New_York,42.09666,-71.26537,42.09674,-71.26438
429072220,,,W,0.272247642527557,5,NORFOLK,MA,02035,America/New_York,42.09369,-71.26264,42.09486,-71.26654
448977197,,,N,0.135926126362382,5,NORFOLK,MA,02035,America/New_York,42.09131,-71.26738,42.09279,-71.2681
126717560,PATRIOT PL,,N,0.01996700370984,5,NORFOLK,MA,02035,America/New_York,42.09486,-71.26654,42.0946,-71.26671
429072205,PATRIOT PL,,N,0.400502591137669,5,NORFOLK,MA,02035,America/New_York,42.08847,-71.26789,42.08856,-71.26102
127639616,PATRIOT PL,,N,0.056585799649347,5,NORFOLK,MA,02035,America/New_York,42.09077,-71.26931,42.08996,-71.26938
128191811,PATRIOT PL,,S,0.071160083434125,5,NORFOLK,MA,02035,America/New_York,42.09674,-71.26438,42.09605,-71.26335
128837904,,,N,0.167744424572464,5,NORFOLK,MA,02035,America/New_York,42.09488,-71.26758,42.09666,-71.26537
128088349,,,N,0.038204650212176,5,NORFOLK,MA,02035,America/New_York,42.09666,-71.26537,42.09707,-71.26487
128796276,PATRIOT PL,,N,0.049317373985191,5,NORFOLK,MA,02035,America/New_York,42.09174,-71.26873,42.0912,-71.2693
127905701,,,S,0.032242163832068,5,NORFOLK,MA,02035,America/New_York,42.09118,-71.26961,42.09077,-71.26931
127432031,PATRIOT PL,,N,0.187027680032873,5,NORFOLK,MA,02035,America/New_York,42.09373,-71.2616,42.09605,-71.26335
126679107,PATRIOT PL,,N,0.071160083434125,5,NORFOLK,MA,02035,America/New_York,42.09605,-71.26335,42.09674,-71.26438
127212853,PATRIOT PL,,N,0.079437141002035,5,NORFOLK,MA,02035,America/New_York,42.09279,-71.2681,42.09174,-71.26873
128142456,PATRIOT PL,,S,0.01996700370984,5,NORFOLK,MA,02035,America/New_York,42.0946,-71.26671,42.09486,-71.26654
128403765,P6 DR,,E,0.038020971148867,5,NORFOLK,MA,02035,America/New_York,42.09143,-71.27027,42.09118,-71.26961
