xd_id,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
449921928,2026-07-09 00:00:00,28.00,27.00,27.00,30.36,30.00,100.00
449921928,2026-07-09 00:05:00,28.17,27.00,27.00,30.18,30.00,92.00
449921928,2026-07-09 00:10:00,25.00,27.00,27.00,34.01,30.00,90.00
449921928,2026-07-09 00:15:00,28.71,27.00,27.00,29.62,30.00,92.00
449921928,2026-07-09 00:20:00,35.86,27.00,27.00,23.71,30.00,94.00
449921928,2026-07-09 00:25:00,32.00,27.00,27.00,26.57,30.00,100.00
449921928,2026-07-09 00:30:00,26.32,27.00,27.00,32.30,30.00,100.00
449921928,2026-07-09 00:35:00,29.00,27.00,27.00,29.32,30.00,100.00
449921928,2026-07-09 00:40:00,29.00,27.00,27.00,29.32,30.00,100.00
449921928,2026-07-09 00:45:00,25.97,27.00,27.00,32.74,30.00,100.00
449921928,2026-07-09 00:50:00,24.39,27.00,27.00,34.86,30.00,100.00
449921928,2026-07-09 00:55:00,24.19,27.00,27.00,35.14,30.00,100.00
449921928,2026-07-09 01:00:00,27.99,27.00,27.00,30.38,30.00,100.00
449921928,2026-07-09 01:05:00,28.00,27.00,27.00,30.36,30.00,100.00
449921928,2026-07-09 01:10:00,28.19,27.00,27.00,30.15,30.00,94.00
449921928,2026-07-09 01:15:00,28.19,27.00,27.00,30.15,30.00,100.00
449921928,2026-07-09 01:20:00,28.19,27.00,27.00,30.15,30.00,100.00
449921928,2026-07-09 01:25:00,28.79,27.00,27.00,29.53,30.00,94.00
449921928,2026-07-09 01:30:00,27.00,27.00,27.00,31.49,30.00,88.00
449921928,2026-07-09 01:35:00,27.00,27.00,27.00,31.49,30.00,90.00
449921928,2026-07-09 01:40:00,27.59,27.00,27.00,30.81,30.00,90.00
449921928,2026-07-09 01:45:00,26.38,27.00,27.00,32.23,30.00,90.00
449921928,2026-07-09 01:50:00,26.00,27.00,27.00,32.70,30.00,90.00
449921928,2026-07-09 01:55:00,25.79,27.00,27.00,32.96,30.00,90.00
449921928,2026-07-09 02:00:00,26.19,27.00,27.00,32.46,30.00,90.00
449921928,2026-07-09 02:05:00,27.38,27.00,27.00,31.05,30.00,90.00
449921928,2026-07-09 02:10:00,29.39,27.00,27.00,28.93,30.00,90.00
449921928,2026-07-09 02:15:00,30.00,27.00,27.00,28.34,30.00,90.00
449921928,2026-07-09 02:20:00,30.00,27.00,27.00,28.34,30.00,90.00
449921928,2026-07-09 02:25:00,33.15,27.00,27.00,25.65,30.00,90.00
449921928,2026-07-09 02:30:00,37.70,27.00,27.00,22.55,30.00,90.00
449921928,2026-07-09 02:35:00,37.36,27.00,27.00,22.75,30.00,90.00
449921928,2026-07-09 02:40:00,32.00,27.00,27.00,26.57,30.00,90.00
449921928,2026-07-09 02:45:00,29.76,27.00,27.00,28.57,30.00,90.00
449921928,2026-07-09 02:50:00,28.79,27.00,27.00,29.53,30.00,100.00
449921928,2026-07-09 02:55:00,26.46,27.00,27.00,32.13,30.00,94.00
449921928,2026-07-09 03:00:00,23.16,27.00,27.00,36.71,30.00,92.00
449921928,2026-07-09 03:05:00,26.07,27.00,27.00,32.61,30.00,98.00
449921928,2026-07-09 03:10:00,33.12,27.00,27.00,25.67,30.00,100.00
449921928,2026-07-09 03:15:00,36.58,27.00,27.00,23.24,30.00,100.00
449921928,2026-07-09 03:20:00,37.00,27.00,27.00,22.98,30.00,94.00
449921928,2026-07-09 03:25:00,37.39,27.00,27.00,22.74,30.00,100.00
449921928,2026-07-09 03:30:00,37.20,27.00,27.00,22.86,30.00,100.00
449921928,2026-07-09 03:35:00,37.59,27.00,27.00,22.61,30.00,100.00
449921928,2026-07-09 03:40:00,35.80,27.00,27.00,23.75,30.00,100.00
449921928,2026-07-09 03:45:00,35.00,27.00,27.00,24.29,30.00,100.00
449921928,2026-07-09 03:50:00,36.13,27.00,27.00,23.53,30.00,100.00
449921928,2026-07-09 03:55:00,34.00,27.00,27.00,25.00,30.00,100.00
449921928,2026-07-09 04:00:00,33.35,27.00,27.00,25.49,30.00,100.00
449921928,2026-07-09 04:05:00,30.00,27.00,27.00,28.34,30.00,98.00
449921928,2026-07-09 04:10:00,30.58,27.00,27.00,27.80,30.00,98.00
449921928,2026-07-09 04:15:00,30.38,27.00,27.00,27.98,30.00,90.00
449921928,2026-07-09 04:20:00,34.28,27.00,27.00,24.80,30.00,96.00
449921928,2026-07-09 04:25:00,35.00,27.00,27.00,24.29,30.00,100.00
449921928,2026-07-09 04:30:00,45.00,27.00,27.00,18.89,30.00,100.00
449921928,2026-07-09 04:35:00,44.07,27.00,27.00,19.29,30.00,100.00
449921928,2026-07-09 04:40:00,39.39,27.00,27.00,21.58,30.00,100.00
449921928,2026-07-09 04:45:00,39.00,27.00,27.00,21.80,30.00,100.00
449921928,2026-07-09 04:50:00,39.80,27.00,27.00,21.36,30.00,100.00
449921928,2026-07-09 04:55:00,40.00,27.00,27.00,21.25,30.00,100.00
449921928,2026-07-09 05:00:00,37.17,30.00,27.00,22.87,30.00,100.00
449921928,2026-07-09 05:05:00,32.73,30.00,27.00,25.97,30.00,100.00
449921928,2026-07-09 05:10:00,31.79,30.00,27.00,26.74,30.00,100.00
449921928,2026-07-09 05:15:00,31.39,30.00,27.00,27.08,30.00,100.00
449921928,2026-07-09 05:20:00,32.00,30.00,27.00,26.57,30.00,100.00
449921928,2026-07-09 05:25:00,32.80,30.00,27.00,25.92,30.00,100.00
449921928,2026-07-09 05:30:00,30.55,30.00,27.00,27.83,30.00,100.00
449921928,2026-07-09 05:35:00,29.19,30.00,27.00,29.12,30.00,100.00
449921928,2026-07-09 05:40:00,29.78,30.00,27.00,28.55,30.00,100.00
449921928,2026-07-09 05:45:00,33.80,30.00,27.00,25.16,30.00,100.00
449921928,2026-07-09 05:50:00,32.99,30.00,27.00,25.77,30.00,100.00
449921928,2026-07-09 05:55:00,31.02,30.00,27.00,27.40,30.00,100.00
449921928,2026-07-09 06:00:00,33.42,30.00,27.00,25.44,30.00,100.00
449921928,2026-07-09 06:05:00,37.16,30.00,27.00,22.88,30.00,100.00
449921928,2026-07-09 06:10:00,38.20,30.00,27.00,22.26,30.00,100.00
449921928,2026-07-09 06:15:00,37.93,30.00,27.00,22.41,30.00,100.00
449921928,2026-07-09 06:20:00,34.39,30.00,27.00,24.72,30.00,100.00
449921928,2026-07-09 06:25:00,31.41,30.00,27.00,27.07,30.00,100.00
449921928,2026-07-09 06:30:00,22.24,30.00,27.00,38.22,30.00,100.00
449921928,2026-07-09 06:35:00,22.00,30.00,27.00,38.64,30.00,100.00
449921928,2026-07-09 06:40:00,21.79,30.00,27.00,39.01,30.00,100.00
449921928,2026-07-09 06:45:00,21.79,30.00,27.00,39.01,30.00,100.00
449921928,2026-07-09 06:50:00,22.67,30.00,27.00,37.51,30.00,100.00
449921928,2026-07-09 06:55:00,19.79,30.00,27.00,42.96,30.00,100.00
449921928,2026-07-09 07:00:00,19.79,27.00,27.00,42.96,30.00,100.00
449921928,2026-07-09 07:05:00,21.79,27.00,27.00,39.01,30.00,100.00
449921928,2026-07-09 07:10:00,21.19,27.00,27.00,40.12,30.00,100.00
449921928,2026-07-09 07:15:00,19.59,27.00,27.00,43.40,30.00,100.00
449921928,2026-07-09 07:20:00,17.54,27.00,27.00,48.48,30.00,100.00
449921928,2026-07-09 07:25:00,17.15,27.00,27.00,49.58,30.00,100.00
449921928,2026-07-09 07:30:00,17.00,27.00,27.00,50.01,30.00,100.00
449921928,2026-07-09 07:35:00,19.44,27.00,27.00,43.73,30.00,100.00
449921928,2026-07-09 07:40:00,18.79,27.00,27.00,45.24,30.00,100.00
449921928,2026-07-09 07:45:00,19.00,27.00,27.00,44.75,30.00,100.00
449921928,2026-07-09 07:50:00,19.68,27.00,27.00,43.19,30.00,100.00
449921928,2026-07-09 07:55:00,27.00,27.00,27.00,31.49,30.00,100.00
449921928,2026-07-09 08:00:00,28.17,26.00,27.00,30.18,30.00,100.00
449921928,2026-07-09 08:05:00,27.11,26.00,27.00,31.36,30.00,100.00
449921928,2026-07-09 08:10:00,24.28,26.00,27.00,35.02,30.00,100.00
449921928,2026-07-09 08:15:00,21.93,26.00,27.00,38.77,30.00,100.00
449921928,2026-07-09 08:20:00,20.37,26.00,27.00,41.74,30.00,100.00
449921928,2026-07-09 08:25:00,19.19,26.00,27.00,44.30,30.00,100.00
449921928,2026-07-09 08:30:00,20.57,26.00,27.00,41.33,30.00,100.00
449921928,2026-07-09 08:35:00,20.59,26.00,27.00,41.29,30.00,100.00
449921928,2026-07-09 08:40:00,19.75,26.00,27.00,43.04,30.00,100.00
449921928,2026-07-09 08:45:00,20.68,26.00,27.00,41.12,30.00,100.00
449921928,2026-07-09 08:50:00,22.83,26.00,27.00,37.24,30.00,100.00
449921928,2026-07-09 08:55:00,20.57,26.00,27.00,41.34,30.00,100.00
449921928,2026-07-09 09:00:00,19.57,26.00,27.00,43.45,30.00,100.00
449921928,2026-07-09 09:05:00,18.54,26.00,27.00,45.85,30.00,100.00
449921928,2026-07-09 09:10:00,17.00,26.00,27.00,50.01,30.00,100.00
449921928,2026-07-09 09:15:00,19.26,26.00,27.00,44.13,30.00,100.00
449921928,2026-07-09 09:20:00,25.52,26.00,27.00,33.31,30.00,100.00
449921928,2026-07-09 09:25:00,28.39,26.00,27.00,29.94,30.00,100.00
449921928,2026-07-09 09:30:00,27.64,26.00,27.00,30.76,30.00,100.00
449921928,2026-07-09 09:35:00,26.18,26.00,27.00,32.47,30.00,98.00
449921928,2026-07-09 09:40:00,22.97,26.00,27.00,37.02,30.00,100.00
449921928,2026-07-09 09:45:00,23.78,26.00,27.00,35.76,30.00,100.00
449921928,2026-07-09 09:50:00,22.66,26.00,27.00,37.53,30.00,100.00
449921928,2026-07-09 09:55:00,22.66,26.00,27.00,37.53,30.00,100.00
449921928,2026-07-09 10:00:00,25.58,23.00,27.00,33.24,30.00,100.00
449921928,2026-07-09 10:05:00,23.43,23.00,27.00,36.29,30.00,100.00
449921928,2026-07-09 10:10:00,23.16,23.00,27.00,36.71,30.00,100.00
449921928,2026-07-09 10:15:00,19.93,23.00,27.00,42.66,30.00,100.00
449921928,2026-07-09 10:20:00,20.98,23.00,27.00,40.52,30.00,100.00
449921928,2026-07-09 10:25:00,22.97,23.00,27.00,37.02,30.00,100.00
449921928,2026-07-09 10:30:00,22.97,23.00,27.00,37.02,30.00,100.00
449921928,2026-07-09 10:35:00,22.76,23.00,27.00,37.36,30.00,100.00
449921928,2026-07-09 10:40:00,21.79,23.00,27.00,39.01,30.00,100.00
449921928,2026-07-09 10:45:00,22.39,23.00,27.00,37.97,30.00,100.00
449921928,2026-07-09 10:50:00,21.98,23.00,27.00,38.68,30.00,100.00
449921928,2026-07-09 10:55:00,21.00,23.00,27.00,40.48,30.00,100.00
449921928,2026-07-09 11:00:00,24.37,19.00,27.00,34.88,30.00,100.00
449921928,2026-07-09 11:05:00,19.70,19.00,27.00,43.15,30.00,96.00
449921928,2026-07-09 11:10:00,14.95,19.00,27.00,56.88,30.00,100.00
449921928,2026-07-09 11:15:00,15.79,19.00,27.00,53.84,30.00,100.00
449921928,2026-07-09 11:20:00,15.58,19.00,27.00,54.55,30.00,100.00
449921928,2026-07-09 11:25:00,17.54,19.00,27.00,48.47,30.00,100.00
449921928,2026-07-09 11:30:00,20.75,19.00,27.00,40.97,30.00,100.00
449921928,2026-07-09 11:35:00,22.00,19.00,27.00,38.64,30.00,100.00
449921928,2026-07-09 11:40:00,22.32,19.00,27.00,38.08,30.00,100.00
449921928,2026-07-09 11:45:00,25.59,19.00,27.00,33.22,30.00,100.00
449921928,2026-07-09 11:50:00,23.05,19.00,27.00,36.88,30.00,100.00
449921928,2026-07-09 11:55:00,20.73,19.00,27.00,41.01,30.00,100.00
449921928,2026-07-09 12:00:00,21.32,19.00,27.00,39.88,30.00,100.00
449921928,2026-07-09 12:05:00,23.28,19.00,27.00,36.52,30.00,100.00
449921928,2026-07-09 12:10:00,27.55,19.00,27.00,30.86,30.00,100.00
449921928,2026-07-09 12:15:00,24.78,19.00,27.00,34.31,30.00,100.00
449921928,2026-07-09 12:20:00,24.79,19.00,27.00,34.29,30.00,100.00
449921928,2026-07-09 12:25:00,24.00,19.00,27.00,35.42,30.00,100.00
449921928,2026-07-09 12:30:00,22.00,19.00,27.00,38.64,30.00,100.00
