xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
1595389144,GREENBRIAR DR,,S,0.372967422411473,4,HARRIS,TX,77054,America/Chicago,29.6947,-95.40486,29.68962,-95.40339
449801473,FANNIN ST,,S,0.204962659809419,4,HARRIS,TX,77054,America/Chicago,29.68222,-95.40317,29.67927,-95.40328
449797369,KIRBY DR,,S,0.185253990300466,3,HARRIS,TX,77054,America/Chicago,29.68484,-95.41233,29.68752,-95.41242
1595387282,KIRBY DR,,S,0.054593382369625,4,HARRIS,TX,77054,America/Chicago,29.67756,-95.41219,29.67835,-95.4122
449797368,KIRBY DR,,S,0.192786632171633,3,HARRIS,TX,77054,America/Chicago,29.68205,-95.41229,29.68484,-95.41233
449797381,KIRBY DR,,S,0.185897957972407,4,HARRIS,TX,77054,America/Chicago,29.68752,-95.41254,29.68483,-95.41248
1595394995,KIRBY DR,,S,0.054593753920889,4,HARRIS,TX,77054,America/Chicago,29.67834,-95.41241,29.67755,-95.4124
936776163,KIRBY DR,,S,0.255714888922745,3,HARRIS,TX,77054,America/Chicago,29.67835,-95.4122,29.68205,-95.41229
449797380,KIRBY DR,,S,0.22466567130966,3,HARRIS,TX,77054,America/Chicago,29.69077,-95.41265,29.68752,-95.41254
1595406452,S LOOP FWY W,,E,0.543799853088804,3,HARRIS,TX,77054,America/Chicago,29.67756,-95.41219,29.67851,-95.40323
1595277367,S LOOP FWY W,,E,0.012625230152264,3,HARRIS,TX,77054,America/Chicago,29.67755,-95.4124,29.67756,-95.41219
449801470,FANNIN ST,,N,0.302327487635212,4,HARRIS,TX,77054,America/Chicago,29.68521,-95.40321,29.68957,-95.4032
449801472,FANNIN ST,,S,0.206607590140377,4,HARRIS,TX,77054,America/Chicago,29.68521,-95.40321,29.68222,-95.40317
449801471,FANNIN ST,,S,0.30546137143232,4,HARRIS,TX,77054,America/Chicago,29.68962,-95.40339,29.68521,-95.40321
449801463,KIRBY DR,,S,0.256359399403231,4,HARRIS,TX,77054,America/Chicago,29.68205,-95.41242,29.67834,-95.41241
449801462,KIRBY DR,,S,0.192114251198295,4,HARRIS,TX,77054,America/Chicago,29.68483,-95.41248,29.68205,-95.41242
464413006,HOLLY HALL ST,,W,0.03982510438144,5,HARRIS,TX,77054,America/Chicago,29.68521,-95.40321,29.68495,-95.40374
449801469,FANNIN ST,,N,0.206607590140377,4,HARRIS,TX,77054,America/Chicago,29.68222,-95.40317,29.68521,-95.40321
449801468,FANNIN ST,,N,0.170934748310164,4,HARRIS,TX,77054,America/Chicago,29.67976,-95.40313,29.68222,-95.40317
1595207578,S LOOP FWY W,,W,0.012625130597858,4,HARRIS,TX,77054,America/Chicago,29.67835,-95.4122,29.67834,-95.41241
449797370,KIRBY DR,,S,0.22466523101845,3,HARRIS,TX,77054,America/Chicago,29.68752,-95.41242,29.69077,-95.41252
461681558,FANNIN ST,,N,0.031115167666039,4,HARRIS,TX,77054,America/Chicago,29.67931,-95.40311,29.67976,-95.40313
1595294894,,,N,0.063457211233177,4,HARRIS,TX,77054,America/Chicago,29.67841,-95.40369,29.6792,-95.40361
1595188800,S LOOP FWY W,,E,0.010413390814732,4,HARRIS,TX,77054,America/Chicago,29.67851,-95.40323,29.67854,-95.40306
1595375491,FANNIN ST,,N,0.053293633828876,4,HARRIS,TX,77054,America/Chicago,29.67854,-95.40306,29.67931,-95.40311
1595405698,S LOOP FWY W,,W,0.541198347734208,4,HARRIS,TX,77054,America/Chicago,29.67927,-95.40328,29.67835,-95.4122
