xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
1282701756,I-95 S,95,W,0.433259574289258,2,PHILADELPHIA,PA,19148,America/New_York,39.908087692378,-75.149570769999,39.902078692652,-75.151519230558
771949096,I-95 S,95,W,0.018412341396979,2,PHILADELPHIA,PA,19148,America/New_York,39.90842,-75.1495,39.908157001063,-75.14955600971
429579286,S DARIEN ST,,S,0.329004193389557,5,PHILADELPHIA,PA,19148,America/New_York,39.90424,-75.16462,39.89955,-75.16569
429579285,S DARIEN ST,,N,0.329004193389557,5,PHILADELPHIA,PA,19148,America/New_York,39.89955,-75.16569,39.90424,-75.16462
441536681,PATTISON AVE,,E,0.207789373229059,5,PHILADELPHIA,PA,19148,America/New_York,39.90393,-75.1623,39.90345,-75.15843
1282561602,,,N,0.043881676186243,3,PHILADELPHIA,PA,19148,America/New_York,39.89929,-75.1743,39.89982,-75.17469
1282686313,PACKER AVE,,E,0.358250531681509,4,PHILADELPHIA,PA,19148,America/New_York,39.90938,-75.16112,39.90795,-75.15467
441536683,PATTISON AVE,,W,0.207789373229059,5,PHILADELPHIA,PA,19148,America/New_York,39.90345,-75.15843,39.90393,-75.1623
937216928,PATTISON AVE,,E,0.130701199165631,5,PHILADELPHIA,PA,19148,America/New_York,39.90456,-75.16705,39.90424,-75.16462
441670189,S DARIEN ST,,N,0.229015660169329,5,PHILADELPHIA,PA,19148,America/New_York,39.90681,-75.16406,39.91008,-75.16339
1282575497,S BROAD ST,611,N,0.170159316082838,3,PHILADELPHIA,PA,19148,America/New_York,39.89982,-75.17469,39.90225,-75.17417
429519801,S FRONT ST,,N,0.07950400363704,4,PHILADELPHIA,PA,19148,America/New_York,39.90749,-75.15123,39.90864,-75.15124
429519804,PACKER AVE,,E,0.042314158886929,4,PHILADELPHIA,PA,19148,America/New_York,39.91008,-75.16339,39.90987,-75.16264
387614954,S 11TH ST,,N,0.51808533710805,5,PHILADELPHIA,PA,19148,America/New_York,39.8988,-75.17209,39.90475,-75.16855
1282737117,,,E,0.047463733768971,4,PHILADELPHIA,PA,19148,America/New_York,39.90985,-75.15098,39.91028,-75.15036
441536675,S DARIEN ST,,N,0.180052010986768,5,PHILADELPHIA,PA,19148,America/New_York,39.90424,-75.16462,39.90681,-75.16406
441536039,PATTISON AVE,,E,0.267706430395435,5,PHILADELPHIA,PA,19148,America/New_York,39.90539,-75.17353,39.90475,-75.16855
441536677,PATTISON AVE,,E,0.124824095799172,5,PHILADELPHIA,PA,19148,America/New_York,39.90424,-75.16462,39.90393,-75.1623
771963805,I-95 S,95,W,0.004852243983219,2,PHILADELPHIA,PA,19148,America/New_York,39.908157001063,-75.14955600971,39.908087692378,-75.149570769999
1282701863,I-95 S,95,W,0.567845586551052,2,PHILADELPHIA,PA,19148,America/New_York,39.900105334385,-75.159924988846,39.89886,-75.17051
449963456,S BROAD ST,611,N,0.113143001110544,3,PHILADELPHIA,PA,19148,America/New_York,39.90377,-75.17383,39.90539,-75.17353
129509345,S LAWRENCE ST,,N,0.218401042049562,5,PHILADELPHIA,PA,19148,America/New_York,39.90033,-75.15909,39.90345,-75.15843
449963454,S BROAD ST,611,N,0.045521458132231,3,PHILADELPHIA,PA,19148,America/New_York,39.90225,-75.17417,39.9029,-75.17403
1282740330,,,W,0.100388325342536,3,PHILADELPHIA,PA,19148,America/New_York,39.89906,-75.17243,39.89929,-75.1743
387546158,S 7TH ST,,N,0.381722297274411,4,PHILADELPHIA,PA,19148,America/New_York,39.90393,-75.1623,39.90938,-75.16112
461734907,S BROAD ST,611,N,0.025232436216447,3,PHILADELPHIA,PA,19148,America/New_York,39.9029,-75.17403,39.90326,-75.17395
441655358,PACKER AVE,,E,0.042092934775863,4,PHILADELPHIA,PA,19148,America/New_York,39.90962,-75.16185,39.90938,-75.16112
1282701881,I-95 S,95,W,0.47682222279412,2,PHILADELPHIA,PA,19148,America/New_York,39.902078692652,-75.151519230558,39.900105334385,-75.159924988846
429519830,17,,W,0.102750092429572,3,PHILADELPHIA,PA,19148,America/New_York,39.89886,-75.17051,39.89906,-75.17243
131456117,S LAWRENCE ST,,S,0.218401042049562,5,PHILADELPHIA,PA,19148,America/New_York,39.90345,-75.15843,39.90033,-75.15909
429579292,PACKER AVE,,E,0.185076990567404,4,PHILADELPHIA,PA,19148,America/New_York,39.90795,-75.15467,39.90749,-75.15123
937217596,PATTISON AVE,,E,0.080585296034746,5,PHILADELPHIA,PA,19148,America/New_York,39.90475,-75.16855,39.90456,-75.16705
1282772759,,,S,0.154407290051587,2,PHILADELPHIA,PA,19148,America/New_York,39.91028,-75.15036,39.90842,-75.1495
1282600756,S FRONT ST,,N,0.084742629934796,4,PHILADELPHIA,PA,19148,America/New_York,39.90864,-75.15124,39.90985,-75.15098
441536679,PACKER AVE,,E,0.045294765639891,4,PHILADELPHIA,PA,19148,America/New_York,39.90987,-75.16264,39.90962,-75.16185
461737374,S BROAD ST,611,N,0.035807019835733,3,PHILADELPHIA,PA,19148,America/New_York,39.90326,-75.17395,39.90377,-75.17383
