xd_id,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
449720257,2026-07-05 00:00:00,23.00,27.00,27.00,44.56,30.00,90.00
449720257,2026-07-05 00:05:00,23.39,27.00,27.00,43.82,30.00,90.00
449720257,2026-07-05 00:10:00,23.00,27.00,27.00,44.56,30.00,90.00
449720257,2026-07-05 00:15:00,23.79,27.00,27.00,43.08,30.00,90.00
449720257,2026-07-05 00:20:00,26.34,27.00,27.00,38.91,30.00,90.00
449720257,2026-07-05 00:25:00,23.05,27.00,27.00,44.47,30.00,90.00
449720257,2026-07-05 00:30:00,22.19,27.00,27.00,46.18,30.00,90.00
449720257,2026-07-05 00:35:00,23.00,27.00,27.00,44.56,30.00,90.00
449720257,2026-07-05 00:40:00,23.39,27.00,27.00,43.82,30.00,90.00
449720257,2026-07-05 00:45:00,24.00,27.00,27.00,42.71,30.00,92.00
449720257,2026-07-05 00:50:00,30.38,27.00,27.00,33.74,30.00,100.00
449720257,2026-07-05 00:55:00,34.16,27.00,27.00,30.01,30.00,92.00
449720257,2026-07-05 01:00:00,35.00,27.00,27.00,29.28,30.00,90.00
449720257,2026-07-05 01:05:00,31.29,27.00,27.00,32.75,30.00,94.00
449720257,2026-07-05 01:10:00,27.00,27.00,27.00,37.96,30.00,100.00
449720257,2026-07-05 01:15:00,28.79,27.00,27.00,35.60,30.00,100.00
449720257,2026-07-05 01:20:00,27.76,27.00,27.00,36.92,30.00,90.00
449720257,2026-07-05 01:25:00,25.98,27.00,27.00,39.44,30.00,90.00
449720257,2026-07-05 01:30:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-05 01:35:00,26.16,27.00,27.00,39.18,30.00,88.00
449720257,2026-07-05 01:40:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 01:45:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 01:50:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 01:55:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:00:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:05:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:10:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:15:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:20:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:25:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:30:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:35:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:40:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:45:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:50:00,27.00,27.00,27.00,37.96,30.00,90.00
449720257,2026-07-05 02:55:00,19.00,27.00,27.00,53.94,30.00,
449720257,2026-07-05 03:00:00,23.39,27.00,27.00,43.82,30.00,90.00
449720257,2026-07-05 03:05:00,23.00,27.00,27.00,44.56,30.00,90.00
449720257,2026-07-05 03:10:00,23.00,27.00,27.00,44.56,30.00,90.00
449720257,2026-07-05 03:15:00,23.59,27.00,27.00,43.45,30.00,90.00
449720257,2026-07-05 03:20:00,24.00,27.00,27.00,42.71,30.00,90.00
449720257,2026-07-05 03:25:00,25.26,27.00,27.00,40.57,30.00,92.00
449720257,2026-07-05 03:30:00,32.00,27.00,27.00,32.03,30.00,94.00
449720257,2026-07-05 03:35:00,32.00,27.00,27.00,32.03,30.00,94.00
