xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
1595406604,S LOOP FWY W,,W,0.402922112816778,3,HARRIS,TX,77025,America/Chicago,29.6791,-95.43298,29.67977,-95.4396
449801478,OLD SPANISH TRL,90,W,0.098410831149681,3,HARRIS,TX,77054,America/Chicago,29.69443,-95.40644,29.69405,-95.40802
449801477,OLD SPANISH TRL,90,W,0.098978994067696,3,HARRIS,TX,77054,America/Chicago,29.69481,-95.40485,29.69443,-95.40644
1595345527,GREENBRIAR DR,,N,0.006909332330951,4,HARRIS,TX,77054,America/Chicago,29.69474,-95.40469,29.69484,-95.40469
1595387282,KIRBY DR,,S,0.054593382369625,4,HARRIS,TX,77054,America/Chicago,29.67756,-95.41219,29.67835,-95.4122
449801479,OLD SPANISH TRL,90,W,0.31252674047924,3,HARRIS,TX,77054,America/Chicago,29.69405,-95.40802,29.69285,-95.41304
1595285890,S LOOP FWY W,,E,0.015400052023211,3,HARRIS,TX,77025,America/Chicago,29.67725,-95.42807,29.6772,-95.42782
1595356896,KIRBY DR,,S,0.009677177097313,3,HARRIS,TX,77054,America/Chicago,29.69282,-95.41318,29.69269,-95.41312
399022868,S LOOP FWY W,,W,0.134593173464471,3,HARRIS,TX,77054,America/Chicago,29.67815,-95.41696,29.67807,-95.4192
1595385659,,,N,0.061644121659624,4,HARRIS,TX,77054,America/Chicago,29.67755,-95.41276,29.67832,-95.4127
1595406452,S LOOP FWY W,,E,0.543799853088804,3,HARRIS,TX,77054,America/Chicago,29.67756,-95.41219,29.67851,-95.40323
449801470,FANNIN ST,,N,0.302327487635212,4,HARRIS,TX,77054,America/Chicago,29.68521,-95.40321,29.68957,-95.4032
449801471,FANNIN ST,,S,0.30546137143232,4,HARRIS,TX,77054,America/Chicago,29.68962,-95.40339,29.68521,-95.40321
449801463,KIRBY DR,,S,0.256359399403231,4,HARRIS,TX,77054,America/Chicago,29.68205,-95.41242,29.67834,-95.41241
