xd_id,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
429369447,2026-06-29 00:00:00,29.00,28.00,28.00,3.00,30.00,100.00
429369447,2026-06-29 00:05:00,28.79,28.00,28.00,3.02,30.00,100.00
429369447,2026-06-29 00:10:00,27.78,28.00,28.00,3.13,30.00,96.00
429369447,2026-06-29 00:15:00,27.38,28.00,28.00,3.18,30.00,90.00
429369447,2026-06-29 00:20:00,31.00,28.00,28.00,2.81,30.00,90.00
429369447,2026-06-29 00:25:00,31.00,28.00,28.00,2.81,30.00,90.00
429369447,2026-06-29 00:30:00,29.00,28.00,28.00,3.00,30.00,100.00
429369447,2026-06-29 00:35:00,36.48,28.00,28.00,2.39,30.00,100.00
429369447,2026-06-29 00:40:00,39.00,28.00,28.00,2.23,30.00,100.00
429369447,2026-06-29 00:45:00,39.00,28.00,28.00,2.23,30.00,100.00
429369447,2026-06-29 00:50:00,35.73,28.00,28.00,2.44,30.00,100.00
429369447,2026-06-29 00:55:00,30.17,28.00,28.00,2.89,30.00,100.00
429369447,2026-06-29 01:00:00,24.08,28.00,28.00,3.61,30.00,100.00
429369447,2026-06-29 01:05:00,22.87,28.00,28.00,3.81,30.00,90.00
429369447,2026-06-29 01:10:00,32.58,28.00,28.00,2.67,30.00,90.00
429369447,2026-06-29 01:15:00,32.00,28.00,28.00,2.72,30.00,100.00
429369447,2026-06-29 01:20:00,31.72,28.00,28.00,2.74,30.00,100.00
429369447,2026-06-29 01:25:00,29.77,28.00,28.00,2.92,30.00,100.00
429369447,2026-06-29 01:30:00,31.00,28.00,28.00,2.81,30.00,100.00
429369447,2026-06-29 01:35:00,32.53,28.00,28.00,2.68,30.00,94.00
429369447,2026-06-29 01:40:00,33.00,28.00,28.00,2.64,30.00,96.00
429369447,2026-06-29 01:45:00,33.38,28.00,28.00,2.61,30.00,100.00
429369447,2026-06-29 01:50:00,34.59,28.00,28.00,2.52,30.00,94.00
429369447,2026-06-29 01:55:00,34.59,28.00,28.00,2.52,30.00,90.00
429369447,2026-06-29 02:00:00,33.17,28.00,28.00,2.62,30.00,90.00
429369447,2026-06-29 02:05:00,31.15,28.00,28.00,2.79,30.00,94.00
429369447,2026-06-29 02:10:00,29.00,28.00,28.00,3.00,30.00,100.00
429369447,2026-06-29 02:15:00,29.00,28.00,28.00,3.00,30.00,100.00
429369447,2026-06-29 02:20:00,34.00,28.00,28.00,2.56,30.00,100.00
429369447,2026-06-29 02:25:00,34.20,28.00,28.00,2.55,30.00,100.00
429369447,2026-06-29 02:30:00,34.59,28.00,28.00,2.52,30.00,100.00
429369447,2026-06-29 02:35:00,35.16,28.00,28.00,2.48,30.00,100.00
429369447,2026-06-29 02:40:00,31.00,28.00,28.00,2.81,30.00,100.00
429369447,2026-06-29 02:45:00,31.38,28.00,28.00,2.77,30.00,100.00
429369447,2026-06-29 02:50:00,34.12,28.00,28.00,2.55,30.00,98.00
429369447,2026-06-29 02:55:00,35.00,28.00,28.00,2.49,30.00,100.00
429369447,2026-06-29 03:00:00,35.00,28.00,28.00,2.49,30.00,100.00
429369447,2026-06-29 03:05:00,34.17,28.00,28.00,2.55,30.00,92.00
429369447,2026-06-29 03:10:00,33.00,28.00,28.00,2.64,30.00,90.00
