xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
429369447,N COLLINS ST,157,S,0.024182663454623,4,TARRANT,TX,76011,America/Chicago,32.75016,-97.0973,32.74981,-97.0973
461643602,COWBOYS WAY,,E,0.383336653736339,5,TARRANT,TX,76011,America/Chicago,32.7463,-97.08954,32.74539,-97.0832
449734193,AT&T WAY,,S,0.263151813973715,4,TARRANT,TX,76011,America/Chicago,32.7463,-97.08969,32.74275,-97.09089
449734194,AT&T WAY,,S,0.151319934902163,4,TARRANT,TX,76011,America/Chicago,32.74275,-97.09089,32.74056,-97.09088
164500246,AT&T WAY,,N,0.008982132089495,4,TARRANT,TX,76011,America/Chicago,32.75037,-97.08942,32.7505,-97.08942
449720183,N COLLINS ST,157,S,0.221813185150712,4,TARRANT,TX,76011,America/Chicago,32.74597,-97.09735,32.74276,-97.09738
449720184,N COLLINS ST,157,S,0.261920555901017,4,TARRANT,TX,76011,America/Chicago,32.74276,-97.09738,32.73897,-97.09736
449720185,N COLLINS ST,157,N,0.261920555901017,4,TARRANT,TX,76011,America/Chicago,32.73897,-97.09736,32.74276,-97.09738
449720186,N COLLINS ST,157,N,0.221813185150712,4,TARRANT,TX,76011,America/Chicago,32.74276,-97.09738,32.74597,-97.09735
449720187,N COLLINS ST,157,N,0.265357163904732,4,TARRANT,TX,76011,America/Chicago,32.74597,-97.09735,32.74981,-97.0973
161152329,E ROGERS ST,,W,0.062767149278906,5,TARRANT,TX,76011,America/Chicago,32.74599,-97.10036,32.746,-97.10144
449711799,E RANDOL MILL RD,,W,0.243400218738421,4,TARRANT,TX,76011,America/Chicago,32.75004,-97.09245,32.74992,-97.09663
449711798,E RANDOL MILL RD,,W,0.169816894557039,4,TARRANT,TX,76011,America/Chicago,32.75049,-97.08958,32.75004,-97.09245
449720182,N COLLINS ST,157,S,0.265357163904732,4,TARRANT,TX,76011,America/Chicago,32.74981,-97.0973,32.74597,-97.09735
163479985,E ROGERS ST,,E,0.102873355005632,5,TARRANT,TX,76011,America/Chicago,32.74599,-97.09912,32.74597,-97.09735
164494570,AT&T WAY,,S,0.280263302226269,4,TARRANT,TX,76011,America/Chicago,32.75035,-97.08958,32.7463,-97.08969
163813788,E RANDOL MILL RD,,W,0.009323214964092,4,TARRANT,TX,76011,America/Chicago,32.7505,-97.08942,32.75049,-97.08958
1562877520,COWBOYS WAY,,W,0.460709710730997,5,TARRANT,TX,76011,America/Chicago,32.7463,-97.08969,32.74597,-97.09735
161596584,E ROGERS ST,,W,0.102873355005632,5,TARRANT,TX,76011,America/Chicago,32.74597,-97.09735,32.74599,-97.09912
441457495,E DIVISION ST,180,W,0.392348906366768,4,TARRANT,TX,76011,America/Chicago,32.74056,-97.09088,32.73897,-97.09736
449735963,E RANDOL MILL RD,,W,0.445772100180437,4,TARRANT,TX,76011,America/Chicago,32.74981,-97.0973,32.75009,-97.10494
449720257,E RANDOL MILL RD,,E,0.284705124691735,4,TARRANT,TX,76011,America/Chicago,32.74981,-97.0973,32.74992,-97.09243
161112116,E ROGERS ST,,W,0.0720598680027,5,TARRANT,TX,76011,America/Chicago,32.74599,-97.09912,32.74599,-97.10036
449720258,E RANDOL MILL RD,,E,0.168439666022456,4,TARRANT,TX,76011,America/Chicago,32.74992,-97.09243,32.75035,-97.08958
163718020,AT&T WAY,,N,0.281695071167833,4,TARRANT,TX,76011,America/Chicago,32.7463,-97.08954,32.75037,-97.08942
441457502,E DIVISION ST,180,W,0.419972351999108,4,TARRANT,TX,76011,America/Chicago,32.74167,-97.08359,32.74059,-97.0907
1562825768,E RANDOL MILL RD,,W,0.039963243230093,4,TARRANT,TX,76011,America/Chicago,32.74992,-97.09663,32.74981,-97.0973
449742427,STADIUM DR,,S,0.269520725288397,4,TARRANT,TX,76011,America/Chicago,32.74539,-97.0832,32.74167,-97.08359
441596562,E DIVISION ST,180,E,0.010664321249295,4,TARRANT,TX,76011,America/Chicago,32.74056,-97.09088,32.74059,-97.0907
1563085170,N COLLINS ST,157,S,0.372506528772793,4,TARRANT,TX,76011,America/Chicago,32.75555,-97.09722,32.75016,-97.0973
441670292,E DIVISION ST,180,E,0.392348906366768,4,TARRANT,TX,76011,America/Chicago,32.73897,-97.09736,32.74056,-97.09088
449736882,AT&T WAY,,N,0.26315960055043,4,TARRANT,TX,76011,America/Chicago,32.74275,-97.09074,32.7463,-97.08954
449736881,AT&T WAY,,N,0.149276018958098,4,TARRANT,TX,76011,America/Chicago,32.74059,-97.0907,32.74275,-97.09074
163875809,E RANDOL MILL RD,,E,0.009399721339543,4,TARRANT,TX,76011,America/Chicago,32.75035,-97.08958,32.75037,-97.08942
868163861,E RANDOL MILL RD,,E,0.305480568247593,4,TARRANT,TX,76011,America/Chicago,32.75037,-97.08942,32.74991,-97.08423
