xd_id,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
449921928,2026-06-27 00:00:00,26.19,27.00,27.00,32.46,30.00,100.00
449921928,2026-06-27 00:05:00,27.59,27.00,27.00,30.81,30.00,100.00
449921928,2026-06-27 00:10:00,28.19,27.00,27.00,30.15,30.00,100.00
449921928,2026-06-27 00:15:00,29.00,27.00,27.00,29.32,30.00,100.00
449921928,2026-06-27 00:20:00,29.59,27.00,27.00,28.73,30.00,100.00
449921928,2026-06-27 00:25:00,26.70,27.00,27.00,31.85,30.00,92.00
449921928,2026-06-27 00:30:00,24.34,27.00,27.00,34.93,30.00,90.00
449921928,2026-06-27 00:35:00,20.59,27.00,27.00,41.29,30.00,90.00
449921928,2026-06-27 00:40:00,38.27,27.00,27.00,22.21,30.00,90.00
449921928,2026-06-27 00:45:00,33.35,27.00,27.00,25.50,30.00,90.00
449921928,2026-06-27 00:50:00,31.38,27.00,27.00,27.09,30.00,90.00
449921928,2026-06-27 00:55:00,32.13,27.00,27.00,26.46,30.00,96.00
449921928,2026-06-27 01:00:00,34.00,27.00,27.00,25.00,30.00,100.00
449921928,2026-06-27 01:05:00,32.77,27.00,27.00,25.94,30.00,100.00
449921928,2026-06-27 01:10:00,30.77,27.00,27.00,27.63,30.00,94.00
449921928,2026-06-27 01:15:00,30.93,27.00,27.00,27.49,30.00,92.00
449921928,2026-06-27 01:20:00,33.58,27.00,27.00,25.32,30.00,100.00
449921928,2026-06-27 01:25:00,32.59,27.00,27.00,26.08,30.00,100.00
449921928,2026-06-27 01:30:00,33.00,27.00,27.00,25.76,30.00,100.00
449921928,2026-06-27 01:35:00,33.80,27.00,27.00,25.16,30.00,100.00
449921928,2026-06-27 01:40:00,32.00,27.00,27.00,26.57,30.00,100.00
449921928,2026-06-27 01:45:00,31.07,27.00,27.00,27.36,30.00,100.00
449921928,2026-06-27 01:50:00,27.19,27.00,27.00,31.26,30.00,92.00
449921928,2026-06-27 01:55:00,27.00,27.00,27.00,31.49,30.00,90.00
449921928,2026-06-27 02:00:00,25.00,27.00,27.00,34.01,30.00,90.00
449921928,2026-06-27 02:05:00,25.59,27.00,27.00,33.22,30.00,90.00
449921928,2026-06-27 02:10:00,26.79,27.00,27.00,31.73,30.00,90.00
449921928,2026-06-27 02:15:00,28.98,27.00,27.00,29.34,30.00,96.00
449921928,2026-06-27 02:20:00,28.39,27.00,27.00,29.94,30.00,100.00
449921928,2026-06-27 02:25:00,28.46,27.00,27.00,29.87,30.00,100.00
449921928,2026-06-27 02:30:00,36.58,27.00,27.00,23.24,30.00,100.00
449921928,2026-06-27 02:35:00,36.58,27.00,27.00,23.24,30.00,100.00
449921928,2026-06-27 02:40:00,35.80,27.00,27.00,23.75,30.00,100.00
449921928,2026-06-27 02:45:00,36.56,27.00,27.00,23.25,30.00,100.00
449921928,2026-06-27 02:50:00,42.70,27.00,27.00,19.91,30.00,100.00
449921928,2026-06-27 02:55:00,44.00,27.00,27.00,19.32,30.00,100.00
449921928,2026-06-27 03:00:00,43.59,27.00,27.00,19.50,30.00,100.00
449921928,2026-06-27 03:05:00,42.71,27.00,27.00,19.91,30.00,96.00
449921928,2026-06-27 03:10:00,40.00,27.00,27.00,21.25,30.00,86.00
449921928,2026-06-27 03:15:00,40.00,27.00,27.00,21.25,30.00,82.00
449921928,2026-06-27 03:20:00,34.60,27.00,27.00,24.57,30.00,90.00
449921928,2026-06-27 03:25:00,27.55,27.00,27.00,30.86,30.00,90.00
449921928,2026-06-27 03:30:00,30.00,27.00,27.00,28.34,30.00,90.00
449921928,2026-06-27 03:35:00,29.50,27.00,27.00,28.81,30.00,90.00
449921928,2026-06-27 03:40:00,33.00,27.00,27.00,25.76,30.00,90.00
449921928,2026-06-27 03:45:00,32.00,27.00,27.00,26.57,30.00,90.00
449921928,2026-06-27 03:50:00,32.76,27.00,27.00,25.95,30.00,90.00
449921928,2026-06-27 03:55:00,32.58,27.00,27.00,26.09,30.00,90.00
449921928,2026-06-27 04:00:00,34.35,27.00,27.00,24.75,30.00,96.00
449921928,2026-06-27 04:05:00,36.58,27.00,27.00,23.24,30.00,100.00
449921928,2026-06-27 04:10:00,38.32,27.00,27.00,22.19,30.00,100.00
449921928,2026-06-27 04:15:00,40.00,27.00,27.00,21.25,30.00,100.00
449921928,2026-06-27 04:20:00,39.80,27.00,27.00,21.36,30.00,100.00
449921928,2026-06-27 04:25:00,39.00,27.00,27.00,21.80,30.00,100.00
449921928,2026-06-27 04:30:00,39.00,27.00,27.00,21.80,30.00,100.00
449921928,2026-06-27 04:35:00,39.00,27.00,27.00,21.80,30.00,100.00
449921928,2026-06-27 04:40:00,35.37,27.00,27.00,24.04,30.00,100.00
449921928,2026-06-27 04:45:00,33.51,27.00,27.00,25.37,30.00,100.00
449921928,2026-06-27 04:50:00,30.35,27.00,27.00,28.01,30.00,100.00
449921928,2026-06-27 04:55:00,25.00,27.00,27.00,34.01,30.00,100.00
449921928,2026-06-27 05:00:00,25.00,31.00,27.00,34.01,30.00,92.00
449921928,2026-06-27 05:05:00,25.00,31.00,27.00,34.01,30.00,90.00
449921928,2026-06-27 05:10:00,27.70,31.00,27.00,30.70,30.00,96.00
449921928,2026-06-27 05:15:00,35.90,31.00,27.00,23.68,30.00,100.00
449921928,2026-06-27 05:20:00,31.63,31.00,27.00,26.88,30.00,100.00
449921928,2026-06-27 05:25:00,28.77,31.00,27.00,29.55,30.00,100.00
449921928,2026-06-27 05:30:00,30.38,31.00,27.00,27.98,30.00,100.00
449921928,2026-06-27 05:35:00,30.18,31.00,27.00,28.17,30.00,100.00
449921928,2026-06-27 05:40:00,28.17,31.00,27.00,30.18,30.00,100.00
