xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
449921928,W CENTURY BLVD,,W,0.236156852340334,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94546,-118.33983,33.94545,-118.34395
172706259,W 90TH ST,,E,0.093991897901278,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.9562,-118.33237,33.95619,-118.33073
173006337,W HARDY ST,,W,0.057888388453582,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94914,-118.32772,33.94914,-118.32873
172706260,W 90TH ST,,W,0.093991897901278,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95619,-118.33073,33.9562,-118.33237
461712101,W CENTURY BLVD,,W,0.267100549394624,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94546,-118.33517,33.94546,-118.33983
461707358,E ARBOR VITAE ST,,W,0.106157178403957,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95274,-118.3421,33.95272,-118.34395
449921978,S PRAIRIE AVE,,S,0.277071734354792,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.95673,-118.34395,33.95272,-118.34395
172696841,CRENSHAW BLVD,,S,0.220407708053571,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95234,-118.32672,33.94915,-118.32672
170914628,W 90TH ST,,E,0.23223462031696,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95673,-118.34395,33.95646,-118.33993
449921979,S PRAIRIE AVE,,N,0.277071734354792,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.95272,-118.34395,33.95673,-118.34395
937089048,CRENSHAW BLVD,,S,0.059905346486844,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95529,-118.3265,33.95457,-118.32672
449929786,W MANCHESTER BLVD,42,E,0.138114669969028,3,LOS ANGELES,CA,90305,America/Los_Angeles,33.95989,-118.33754,33.95988,-118.33513
461713927,PINCAY DR,,W,0.133057624981036,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95643,-118.33761,33.95646,-118.33993
172336872,PINCAY DR,,W,0.242433354648459,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95622,-118.3265,33.95619,-118.33073
449929787,W MANCHESTER BLVD,42,E,0.161610646245209,3,LOS ANGELES,CA,90305,America/Los_Angeles,33.95988,-118.33513,33.95987,-118.33231
937112430,CRENSHAW BLVD,,S,0.032473862488799,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95457,-118.32672,33.9541,-118.32672
172986773,W HARDY ST,,W,0.057319397100693,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94915,-118.32672,33.94914,-118.32772
400726802,W 90TH ST,,E,0.134686700087748,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95622,-118.33472,33.9562,-118.33237
449921980,S PRAIRIE AVE,,N,0.214887476712643,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.95673,-118.34395,33.95984,-118.34397
172412381,S VILLAGE DR,,S,0.082235994595366,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94666,-118.32923,33.94547,-118.32925
461716599,W CENTURY BLVD,,E,0.267100549394624,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94546,-118.33983,33.94546,-118.33517
449929788,W MANCHESTER BLVD,42,E,0.203461756259097,3,LOS ANGELES,CA,90305,America/Los_Angeles,33.95987,-118.33231,33.9599,-118.32876
449929789,W MANCHESTER BLVD,42,E,0.129530408838849,3,LOS ANGELES,CA,90305,America/Los_Angeles,33.9599,-118.32876,33.95991,-118.3265
172774933,W 90TH ST,,E,0.036678699247499,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95622,-118.33536,33.95622,-118.33472
461709906,PINCAY DR,,E,0.129905215768307,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95643,-118.33761,33.95622,-118.33536
464471755,W CENTURY BLVD,,W,0.15877004676376,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94547,-118.32648,33.94547,-118.32925
450506060,S PRAIRIE AVE,,N,0.084293856896839,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.94787,-118.34395,33.94909,-118.34395
937118404,CRENSHAW BLVD,,N,0.091902876700497,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95234,-118.32672,33.95367,-118.32672
937096053,CRENSHAW BLVD,,N,0.032473862488799,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.9541,-118.32672,33.95457,-118.32672
449922003,CRENSHAW BLVD,,S,0.008291199034176,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95634,-118.3265,33.95622,-118.3265
449922002,CRENSHAW BLVD,,S,0.246674685207801,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95991,-118.3265,33.95634,-118.3265
449921995,CRENSHAW BLVD,,S,0.25288364933317,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.94913,-118.32649,33.94547,-118.32648
449921993,CRENSHAW BLVD,,S,0.025564530750433,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95272,-118.3265,33.95235,-118.3265
450506059,S PRAIRIE AVE,,N,0.167205842053474,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94545,-118.34395,33.94787,-118.34395
937133438,CRENSHAW BLVD,,S,0.091902876700497,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95367,-118.32672,33.95234,-118.32672
449921994,CRENSHAW BLVD,,S,0.222482390457033,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95235,-118.3265,33.94913,-118.32649
449922004,CRENSHAW BLVD,,S,0.241826630990715,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95622,-118.3265,33.95272,-118.3265
450506057,S PRAIRIE AVE,,S,0.084293856896839,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.94909,-118.34395,33.94787,-118.34395
172774208,W 90TH ST,,W,0.23223462031696,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95646,-118.33993,33.95673,-118.34395
450506058,S PRAIRIE AVE,,S,0.167205842053474,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.94787,-118.34395,33.94545,-118.34395
461708823,PINCAY DR,,E,0.133057624981036,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95646,-118.33993,33.95643,-118.33761
937131539,CRENSHAW BLVD,,N,0.029710130267521,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95367,-118.32672,33.9541,-118.32672
449921916,S PRAIRIE AVE,,N,0.250808765154261,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.94909,-118.34395,33.95272,-118.34395
449921913,S PRAIRIE AVE,,S,0.250808765154261,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.95272,-118.34395,33.94909,-118.34395
461711393,YUKON AVE,,N,0.249415747468743,5,LOS ANGELES,CA,90303,America/Los_Angeles,33.94546,-118.33517,33.94884,-118.33642
171952627,CRENSHAW BLVD,,S,0.169973446230022,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94915,-118.32672,33.94669,-118.32674
400606730,W 99TH ST,,W,0.142735896584224,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94669,-118.32674,33.94666,-118.32923
449921917,W CENTURY BLVD,,E,0.236156852340334,4,LOS ANGELES,CA,90304,America/Los_Angeles,33.94545,-118.34395,33.94546,-118.33983
172364983,PINCAY DR,,E,0.242433354648459,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95619,-118.33073,33.95622,-118.3265
461714959,YUKON AVE,,S,0.093502772885026,5,LOS ANGELES,CA,90303,America/Los_Angeles,33.95005,-118.33715,33.94884,-118.33642
937136485,CRENSHAW BLVD,,N,0.059905346486844,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95457,-118.32672,33.95529,-118.3265
937111911,CRENSHAW BLVD,,S,0.029710130267521,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.9541,-118.32672,33.95367,-118.32672
461711840,E ARBOR VITAE ST,,E,0.106157178403957,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95272,-118.34395,33.95274,-118.3421
450506066,W MANCHESTER BLVD,42,E,0.154163644866197,3,LOS ANGELES,CA,90305,America/Los_Angeles,33.9599,-118.34023,33.95989,-118.33754
171421360,CRENSHAW BLVD,,N,0.220407708053571,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94915,-118.32672,33.95234,-118.32672
450506065,W MANCHESTER BLVD,42,E,0.214645712394414,3,LOS ANGELES,CA,90305,America/Los_Angeles,33.95984,-118.34397,33.9599,-118.34023
449921924,W CENTURY BLVD,,W,0.195466083885045,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94547,-118.32925,33.94547,-118.33266
461714074,PINCAY DR,,W,0.129905215768307,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95622,-118.33536,33.95643,-118.33761
449921925,W CENTURY BLVD,,W,0.143878126352052,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94547,-118.33266,33.94546,-118.33517
