xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
464465413,W CENTURY BLVD,,E,0.15877004676376,4,LOS ANGELES,CA,90303,America/Los_Angeles,33.94547,-118.32925,33.94547,-118.32648
170526826,BRIARWOOD LN,,E,0.034437791208734,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95787,-118.33272,33.95766,-118.33219
170626755,BRIARWOOD LN,,E,0.034639986206294,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95796,-118.33152,33.95844,-118.3314
170933624,W HARDY ST,,E,0.057888388453582,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94914,-118.32873,33.94914,-118.32772
172706259,W 90TH ST,,E,0.093991897901278,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.9562,-118.33237,33.95619,-118.33073
173006337,W HARDY ST,,W,0.057888388453582,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.94914,-118.32772,33.94914,-118.32873
172742879,DUNFORD LN,,W,0.065904333778623,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95971,-118.33859,33.95971,-118.33974
172706260,W 90TH ST,,W,0.093991897901278,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95619,-118.33073,33.9562,-118.33237
170574142,BRIARWOOD LN,,E,0.028394917016533,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95819,-118.33303,33.95787,-118.33272
450503400,CRENSHAW BLVD,,N,0.008982132089495,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95991,-118.3265,33.96004,-118.3265
461707358,E ARBOR VITAE ST,,W,0.106157178403957,4,LOS ANGELES,CA,90305,America/Los_Angeles,33.95274,-118.3421,33.95272,-118.34395
170610402,BRIARWOOD LN,,E,0.024873597102528,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95988,-118.33513,33.95952,-118.33513
449921978,S PRAIRIE AVE,,S,0.277071734354792,4,LOS ANGELES,CA,90301,America/Los_Angeles,33.95673,-118.34395,33.95272,-118.34395
170988254,BRIARWOOD LN,,E,0.030237081217176,5,LOS ANGELES,CA,90305,America/Los_Angeles,33.95874,-118.33157,33.9591,-118.33187
