xd_id,measurement_tstamp,speed,historical_average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
449720257,2026-07-13 00:00:00,34.59,27.00,27.00,29.63,30.00,90.00
449720257,2026-07-13 00:05:00,29.58,27.00,27.00,34.65,30.00,90.00
449720257,2026-07-13 00:10:00,28.17,27.00,27.00,36.39,30.00,90.00
449720257,2026-07-13 00:15:00,27.39,27.00,27.00,37.42,30.00,90.00
449720257,2026-07-13 00:20:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 00:25:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 00:30:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 00:35:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 00:40:00,27.79,27.00,27.00,36.88,30.00,90.00
449720257,2026-07-13 00:45:00,27.59,27.00,27.00,37.15,30.00,90.00
449720257,2026-07-13 00:50:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 00:55:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 01:00:00,28.00,27.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 01:05:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:10:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:15:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:20:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:25:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:30:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:35:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:40:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:45:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:50:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 01:55:00,28.00,27.00,27.00,36.60,30.00,
449720257,2026-07-13 02:00:00,27.19,27.00,27.00,37.69,30.00,
449720257,2026-07-13 02:05:00,27.00,27.00,27.00,37.96,30.00,
449720257,2026-07-13 02:10:00,27.00,27.00,27.00,37.96,30.00,
449720257,2026-07-13 02:15:00,26.19,27.00,27.00,39.13,30.00,
449720257,2026-07-13 02:20:00,26.00,27.00,27.00,39.42,30.00,
449720257,2026-07-13 02:25:00,26.00,27.00,27.00,39.42,30.00,
449720257,2026-07-13 02:30:00,24.37,27.00,27.00,42.05,30.00,
449720257,2026-07-13 02:35:00,24.00,27.00,27.00,42.71,30.00,
449720257,2026-07-13 02:40:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-13 02:45:00,30.00,27.00,27.00,34.16,30.00,90.00
449720257,2026-07-13 02:50:00,30.00,27.00,27.00,34.16,30.00,90.00
449720257,2026-07-13 02:55:00,30.00,27.00,27.00,34.16,30.00,90.00
449720257,2026-07-13 03:00:00,29.59,27.00,27.00,34.64,30.00,90.00
449720257,2026-07-13 03:05:00,28.79,27.00,27.00,35.60,30.00,90.00
449720257,2026-07-13 03:10:00,27.59,27.00,27.00,37.15,30.00,90.00
449720257,2026-07-13 03:15:00,25.38,27.00,27.00,40.39,30.00,90.00
449720257,2026-07-13 03:20:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-13 03:25:00,25.00,27.00,27.00,41.00,30.00,82.00
449720257,2026-07-13 03:30:00,25.00,27.00,27.00,41.00,30.00,80.00
449720257,2026-07-13 03:35:00,25.00,27.00,27.00,41.00,30.00,80.00
449720257,2026-07-13 03:40:00,24.59,27.00,27.00,41.68,30.00,80.00
449720257,2026-07-13 03:45:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-13 03:50:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-13 03:55:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-13 04:00:00,26.57,27.00,27.00,38.57,30.00,90.00
449720257,2026-07-13 04:05:00,27.00,27.00,27.00,37.96,30.00,
449720257,2026-07-13 04:10:00,27.00,27.00,27.00,37.96,30.00,
449720257,2026-07-13 04:15:00,27.00,27.00,27.00,37.96,30.00,
449720257,2026-07-13 04:20:00,26.79,27.00,27.00,38.25,30.00,90.00
449720257,2026-07-13 04:25:00,26.00,27.00,27.00,39.42,30.00,90.00
449720257,2026-07-13 04:30:00,28.61,27.00,27.00,35.83,30.00,90.00
449720257,2026-07-13 04:35:00,31.59,27.00,27.00,32.44,30.00,90.00
449720257,2026-07-13 04:40:00,33.17,27.00,27.00,30.90,30.00,90.00
449720257,2026-07-13 04:45:00,34.00,27.00,27.00,30.15,30.00,90.00
449720257,2026-07-13 04:50:00,34.00,27.00,27.00,30.15,30.00,90.00
449720257,2026-07-13 04:55:00,32.99,27.00,27.00,31.07,30.00,90.00
449720257,2026-07-13 05:00:00,30.13,25.00,27.00,34.02,30.00,90.00
449720257,2026-07-13 05:05:00,29.00,25.00,27.00,35.34,30.00,90.00
449720257,2026-07-13 05:10:00,28.39,25.00,27.00,36.10,30.00,90.00
449720257,2026-07-13 05:15:00,28.00,25.00,27.00,36.60,30.00,90.00
449720257,2026-07-13 05:20:00,27.59,25.00,27.00,37.15,30.00,90.00
449720257,2026-07-13 05:25:00,29.00,25.00,27.00,35.34,30.00,90.00
449720257,2026-07-13 05:30:00,28.79,25.00,27.00,35.60,30.00,90.00
449720257,2026-07-13 05:35:00,27.39,25.00,27.00,37.42,30.00,90.00
449720257,2026-07-13 05:40:00,27.00,25.00,27.00,37.96,30.00,90.00
449720257,2026-07-13 05:45:00,27.00,25.00,27.00,37.96,30.00,90.00
449720257,2026-07-13 05:50:00,27.00,25.00,27.00,37.96,30.00,90.00
449720257,2026-07-13 05:55:00,34.56,25.00,27.00,29.66,30.00,90.00
449720257,2026-07-13 06:00:00,33.39,27.00,27.00,30.69,30.00,90.00
449720257,2026-07-13 06:05:00,34.00,27.00,27.00,30.15,30.00,90.00
449720257,2026-07-13 06:10:00,31.81,27.00,27.00,32.22,30.00,90.00
449720257,2026-07-13 06:15:00,28.18,27.00,27.00,36.37,30.00,90.00
449720257,2026-07-13 06:20:00,26.79,27.00,27.00,38.25,30.00,90.00
449720257,2026-07-13 06:25:00,25.00,27.00,27.00,41.00,30.00,90.00
449720257,2026-07-13 06:30:00,25.86,27.00,27.00,39.63,30.00,90.00
449720257,2026-07-13 06:35:00,30.00,27.00,27.00,34.16,30.00,90.00
449720257,2026-07-13 06:40:00,30.79,27.00,27.00,33.28,30.00,90.00
449720257,2026-07-13 06:45:00,28.82,27.00,27.00,35.56,30.00,96.00
449720257,2026-07-13 06:50:00,25.00,27.00,27.00,41.00,30.00,100.00
449720257,2026-07-13 06:55:00,23.98,27.00,27.00,42.74,30.00,98.00
449720257,2026-07-13 07:00:00,23.57,27.00,27.00,43.48,30.00,100.00
449720257,2026-07-13 07:05:00,23.16,27.00,27.00,44.26,30.00,100.00
449720257,2026-07-13 07:10:00,24.19,27.00,27.00,42.36,30.00,100.00
449720257,2026-07-13 07:15:00,24.79,27.00,27.00,41.34,30.00,100.00
449720257,2026-07-13 07:20:00,25.79,27.00,27.00,39.74,30.00,100.00
449720257,2026-07-13 07:25:00,26.59,27.00,27.00,38.54,30.00,100.00
449720257,2026-07-13 07:30:00,27.78,27.00,27.00,36.89,30.00,100.00
449720257,2026-07-13 07:35:00,28.59,27.00,27.00,35.85,30.00,100.00
449720257,2026-07-13 07:40:00,29.39,27.00,27.00,34.87,30.00,100.00
449720257,2026-07-13 07:45:00,29.59,27.00,27.00,34.64,30.00,100.00
449720257,2026-07-13 07:50:00,29.79,27.00,27.00,34.40,30.00,100.00
449720257,2026-07-13 07:55:00,29.17,27.00,27.00,35.14,30.00,100.00
449720257,2026-07-13 08:00:00,26.99,27.00,27.00,37.98,30.00,100.00
449720257,2026-07-13 08:05:00,26.39,27.00,27.00,38.84,30.00,100.00
449720257,2026-07-13 08:10:00,26.59,27.00,27.00,38.54,30.00,100.00
449720257,2026-07-13 08:15:00,26.59,27.00,27.00,38.54,30.00,100.00
449720257,2026-07-13 08:20:00,27.00,27.00,27.00,37.96,30.00,100.00
449720257,2026-07-13 08:25:00,27.39,27.00,27.00,37.42,30.00,96.00
449720257,2026-07-13 08:30:00,24.00,27.00,27.00,42.70,30.00,98.00
